Spurious	Causal	Proportion	Model
27	0	10-20-70	Eigenstrat
19	0	10-20-70	Eigenstrat
27	0	10-20-70	Eigenstrat
23	0	10-20-70	Eigenstrat
27	0	10-20-70	Eigenstrat
30	0	10-20-70	Eigenstrat
27	0	10-20-70	Eigenstrat
14	0	10-20-70	Eigenstrat
33	0	10-20-70	Eigenstrat
27	0	10-20-70	Eigenstrat
31	0	10-20-70	Eigenstrat
32	0	10-20-70	Eigenstrat
29	0	10-20-70	Eigenstrat
29	0	10-20-70	Eigenstrat
31	0	10-20-70	Eigenstrat
25	0	10-20-70	Eigenstrat
26	0	10-20-70	Eigenstrat
35	0	10-20-70	Eigenstrat
19	0	10-20-70	Eigenstrat
13	0	10-20-70	Eigenstrat
29	0	10-20-70	Eigenstrat
27	0	10-20-70	Eigenstrat
26	0	10-20-70	Eigenstrat
39	0	10-20-70	Eigenstrat
34	0	10-20-70	Eigenstrat
33	0	10-20-70	Eigenstrat
34	1	10-20-70	Eigenstrat
30	0	10-20-70	Eigenstrat
19	0	10-20-70	Eigenstrat
18	0	10-20-70	Eigenstrat
22	0	10-20-70	Eigenstrat
38	0	10-20-70	Eigenstrat
25	0	10-20-70	Eigenstrat
27	0	10-20-70	Eigenstrat
40	0	10-20-70	Eigenstrat
26	1	10-20-70	Eigenstrat
33	0	10-20-70	Eigenstrat
29	0	10-20-70	Eigenstrat
25	0	10-20-70	Eigenstrat
23	0	10-20-70	Eigenstrat
30	0	10-20-70	Eigenstrat
35	0	10-20-70	Eigenstrat
18	0	10-20-70	Eigenstrat
33	1	10-20-70	Eigenstrat
22	0	10-20-70	Eigenstrat
33	0	10-20-70	Eigenstrat
19	0	10-20-70	Eigenstrat
29	0	10-20-70	Eigenstrat
28	0	10-20-70	Eigenstrat
30	0	10-20-70	Eigenstrat
29	0	10-20-70	Eigenstrat
17	0	10-20-70	Eigenstrat
26	0	10-20-70	Eigenstrat
24	0	10-20-70	Eigenstrat
32	0	10-20-70	Eigenstrat
29	0	10-20-70	Eigenstrat
33	0	10-20-70	Eigenstrat
26	0	10-20-70	Eigenstrat
37	0	10-20-70	Eigenstrat
32	0	10-20-70	Eigenstrat
20	0	10-20-70	Eigenstrat
28	0	10-20-70	Eigenstrat
40	0	10-20-70	Eigenstrat
27	0	10-20-70	Eigenstrat
45	0	10-20-70	Eigenstrat
23	0	10-20-70	Eigenstrat
34	0	10-20-70	Eigenstrat
30	0	10-20-70	Eigenstrat
38	0	10-20-70	Eigenstrat
20	0	10-20-70	Eigenstrat
27	1	10-20-70	Eigenstrat
26	0	10-20-70	Eigenstrat
31	0	10-20-70	Eigenstrat
34	0	10-20-70	Eigenstrat
29	0	10-20-70	Eigenstrat
35	0	10-20-70	Eigenstrat
30	0	10-20-70	Eigenstrat
26	1	10-20-70	Eigenstrat
33	0	10-20-70	Eigenstrat
22	0	10-20-70	Eigenstrat
37	0	10-20-70	Eigenstrat
35	0	10-20-70	Eigenstrat
30	1	10-20-70	Eigenstrat
23	0	10-20-70	Eigenstrat
22	0	10-20-70	Eigenstrat
29	0	10-20-70	Eigenstrat
18	1	10-20-70	Eigenstrat
707	6	10-20-70	CluStrat
437	6	10-20-70	CluStrat
498	6	10-20-70	CluStrat
778	3	10-20-70	CluStrat
415	7	10-20-70	CluStrat
518	6	10-20-70	CluStrat
559	7	10-20-70	CluStrat
527	6	10-20-70	CluStrat
383	3	10-20-70	CluStrat
436	5	10-20-70	CluStrat
485	5	10-20-70	CluStrat
649	4	10-20-70	CluStrat
286	2	10-20-70	CluStrat
687	7	10-20-70	CluStrat
1836	9	10-20-70	CluStrat
526	4	10-20-70	CluStrat
127	6	10-20-70	CluStrat
202	7	10-20-70	CluStrat
480	6	10-20-70	CluStrat
575	7	10-20-70	CluStrat
436	3	10-20-70	CluStrat
588	6	10-20-70	CluStrat
231	7	10-20-70	CluStrat
220	4	10-20-70	CluStrat
367	3	10-20-70	CluStrat
168	3	10-20-70	CluStrat
432	6	10-20-70	CluStrat
518	7	10-20-70	CluStrat
346	4	10-20-70	CluStrat
610	2	10-20-70	CluStrat
643	6	10-20-70	CluStrat
490	8	10-20-70	CluStrat
395	4	10-20-70	CluStrat
838	5	10-20-70	CluStrat
344	8	10-20-70	CluStrat
638	9	10-20-70	CluStrat
624	6	10-20-70	CluStrat
170	7	10-20-70	CluStrat
542	5	10-20-70	CluStrat
728	5	10-20-70	CluStrat
379	9	10-20-70	CluStrat
745	9	10-20-70	CluStrat
401	9	10-20-70	CluStrat
0	0	10-20-70	CluStrat
628	6	10-20-70	CluStrat
562	8	10-20-70	CluStrat
587	6	10-20-70	CluStrat
464	6	10-20-70	CluStrat
564	3	10-20-70	CluStrat
453	6	10-20-70	CluStrat
643	9	10-20-70	CluStrat
655	6	10-20-70	CluStrat
688	7	10-20-70	CluStrat
842	7	10-20-70	CluStrat
514	6	10-20-70	CluStrat
361	5	10-20-70	CluStrat
412	9	10-20-70	CluStrat
0	0	10-20-70	CluStrat
437	7	10-20-70	CluStrat
875	7	10-20-70	CluStrat
476	3	10-20-70	CluStrat
620	7	10-20-70	CluStrat
657	5	10-20-70	CluStrat
467	6	10-20-70	CluStrat
212	7	10-20-70	CluStrat
364	6	10-20-70	CluStrat
494	6	10-20-70	CluStrat
421	10	10-20-70	CluStrat
549	6	10-20-70	CluStrat
357	3	10-20-70	CluStrat
237	6	10-20-70	CluStrat
986	5	10-20-70	CluStrat
691	8	10-20-70	CluStrat
527	4	10-20-70	CluStrat
553	6	10-20-70	CluStrat
432	1	10-20-70	CluStrat
679	9	10-20-70	CluStrat
438	6	10-20-70	CluStrat
1356	7	10-20-70	CluStrat
728	6	10-20-70	CluStrat
741	6	10-20-70	CluStrat
378	5	10-20-70	CluStrat
428	6	10-20-70	CluStrat
722	3	10-20-70	CluStrat
407	6	10-20-70	CluStrat
733	4	10-20-70	CluStrat
599	8	10-20-70	CluStrat
349	3	10-20-70	CluStrat
501	6	10-20-70	CluStrat
646	7	10-20-70	CluStrat
252	5	10-20-70	CluStrat
623	8	10-20-70	CluStrat
586	9	10-20-70	CluStrat
625	5	10-20-70	CluStrat
672	5	10-20-70	CluStrat
547	6	10-20-70	CluStrat
532	7	10-20-70	CluStrat
269	2	10-20-70	CluStrat
540	6	10-20-70	CluStrat
909	5	10-20-70	CluStrat
