Values	Ridge	LDA	RidgeSVM
100.0	0.675	0.675	0.675
400.0	0.725	0.7	0.725
800.0	0.65	0.675	0.65
1200.0	0.625	0.65	0.625
1600.0	0.55	0.5	0.55
2000.0	0.55	0.5	0.55
