Values	Ridge	LDA	RidgeSVM
100.0	0.65	0.65	0.65
400.0	0.75	0.7	0.75
800.0	0.55	0.6	0.55
1200.0	0.6	0.6	0.6
1600.0	0.55	0.5	0.55
2000.0	0.6	0.5	0.6
