Values	Ridge	LDA	RidgeSVM
100.0	0.704	0.7	0.699
400.0	0.804	0.801	0.812
800.0	0.847	0.839	0.859
1200.0	0.855	0.838	0.855
1600.0	0.852	0.822	0.847
2000.0	0.828	0.751	0.829
