Values	Ridge	LDA	RidgeSVM
100.0	0.724	0.722	0.73
400.0	0.813	0.813	0.815
800.0	0.845	0.836	0.844
1200.0	0.862	0.84	0.86
1600.0	0.847	0.824	0.849
2000.0	0.825	0.753	0.822
