Values	Ridge	LDA	RidgeSVM
100.0	0.7	0.725	0.575
400.0	0.875	0.8	0.925
800.0	0.85	0.8	0.75
1200.0	0.9	0.85	0.8
1600.0	0.875	0.775	0.9
2000.0	0.825	0.75	0.825
