Values	Ridge	LDA	RidgeSVM
100.0	0.65	0.7	0.6
400.0	0.75	0.8	0.9
800.0	0.8	0.75	0.75
1200.0	0.9	0.85	0.75
1600.0	0.85	0.8	0.85
2000.0	0.8	0.7	0.8
