Values	Ridge	LDA	RidgeSVM
100.0	0.65	0.8	0.7
400.0	0.85	1.0	0.95
800.0	0.95	0.9	0.95
1200.0	0.85	0.95	0.8
1600.0	0.85	0.85	0.85
2000.0	0.85	0.8	0.85
