Values	Ridge	LDA	RidgeSVM
100.0	0.714	0.716	0.718
400.0	0.826	0.827	0.826
800.0	0.847	0.817	0.854
1200.0	0.841	0.824	0.832
1600.0	0.808	0.791	0.827
2000.0	0.817	0.712	0.801
