Values	Ridge	LDA	RidgeSVM
100.0	0.721	0.718	0.721
400.0	0.836	0.82	0.821
800.0	0.839	0.828	0.856
1200.0	0.856	0.833	0.842
1600.0	0.825	0.802	0.817
2000.0	0.794	0.728	0.801
