Values	Ridge	LDA	RidgeSVM
100.0	0.5	0.45	0.7
400.0	0.6	0.35	0.45
800.0	0.4	0.45	0.55
1200.0	0.45	0.5	0.6
1600.0	0.6	0.35	0.6
2000.0	0.55	0.6	0.45
