Values	Ridge	LDA	RidgeSVM
100.0	0.504	0.511	0.502
400.0	0.502	0.494	0.53
800.0	0.487	0.516	0.517
1200.0	0.51	0.511	0.506
1600.0	0.491	0.515	0.512
2000.0	0.508	0.513	0.517
