Values	Ridge	LDA	RidgeSVM
100.0	0.575	0.55	0.65
400.0	0.6	0.4	0.475
800.0	0.45	0.5	0.525
1200.0	0.45	0.475	0.65
1600.0	0.55	0.425	0.525
2000.0	0.55	0.525	0.45
