Values	Ridge	LDA	RidgeSVM
100.0	0.55	0.5	0.55
400.0	0.35	0.45	0.5
800.0	0.5	0.5	0.6
1200.0	0.55	0.6	0.55
1600.0	0.65	0.55	0.55
2000.0	0.5	0.7	0.55
