Values	Ridge	LDA	RidgeSVM
100.0	0.6	0.475	0.425
400.0	0.525	0.65	0.525
800.0	0.5	0.575	0.625
1200.0	0.375	0.55	0.475
1600.0	0.475	0.6	0.625
2000.0	0.475	0.5	0.375
